seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
2,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.775398570864651,0.262152028486235
3,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.6641984552332914,0.2813163255263181
6,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,0.699075270669998,0.2826589024990243
1,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.6924087816944959,0.2952343756662345
7,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7296702607823471,0.2672457057172516
5,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,0.6676823993834831,0.2827569011179962
11,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7078077250063188,0.2774185563331829
23,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7423805521931212,0.2802041928553836
0,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,0.7386828317679381,0.2847993524617029
13,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.741768593020831,0.2671389769948263
4,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7069686849462934,0.2781957113193553
43,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7231736202936254,0.2835675230062716
12,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7146166706472414,0.2779351765351296
16,beta,54,none,1.0,1.0,raw,none,,54,32.0,5,0.7224214214660075,0.2853916581305123
28,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,0.7086102574463786,0.2933438887489635
8,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.6990853422215332,0.2769653129317029
31,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7251640353823761,0.2735698107360688
15,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7478716596599516,0.2754536549829613
27,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7215438946559929,0.2742986062869045
19,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7463095339807668,0.2681428699496127
39,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7179090604620357,0.291312891550871
35,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,0.7317164901619078,0.2763238205600086
47,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7138119425389677,0.2763951560382323
40,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7007268233699625,0.2866008432958219
26,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7004108574122717,0.2806225771894983
46,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7217288876223046,0.2844095120081026
42,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.775054030256944,0.2661777243322774
38,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.705491971196899,0.285860355059624
18,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,0.7180285398793851,0.2721338256838103
30,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7240136054421769,0.2693826431597369
10,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,0.7394610628503188,0.279394319514888
22,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7077263507283791,0.2883862756394021
14,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,0.742818013199327,0.2758086123414011
34,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7332293945566257,0.2769051024603994
33,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,0.6563148613430296,0.3029977329746897
24,beta,54,none,1.0,1.0,raw,none,,54,32.0,10,0.6988284262879333,0.2911002656880067
20,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7655521437507108,0.2714255289753361
32,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.6987444762387713,0.2727850213692023
48,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7052180043582561,0.2724705766182832
9,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.6947604472594742,0.2766129576996143
36,beta,54,none,1.0,1.0,raw,none,,54,32.0,5,0.7288261459304219,0.2761517281312621
45,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.6832695462001093,0.2846391116871234
37,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7122339667369337,0.2813274488835577
21,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.6742172588459844,0.2698470490855317
44,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,0.6967678405931418,0.2752321206486958
41,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7150867994816176,0.2754951981923932
49,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.7269869186814514,0.275378504276706
25,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,0.7576108165352561,0.2812135328386894
29,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,0.6985268999075146,0.2877993046762432
17,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,0.7105221333690234,0.27080098594770596
